Date,Company,Position,Industry,Place,Rejection,Interview,Assignment,Offer
22.01.2021,Doctolib,Data Scientist,Software,Berlin,Yes,No,No,No
22.01.2021,Solarisbank,Working Student Data Analyst,Bank,Berlin,Yes,No,No,No
22.01.2021,Wayfair,Data Analyst,Marketplace,Berlin,Yes,No,No,No
22.01.2021,Auto1,Data Analyst,Automotive,Berlin,Yes,No,No,No
23.01.2021,Delivery Hero,Data Scientist,Delivery,Berlin,Yes,No,No,No
23.01.2021,SAP,Digital Strategy Project & Business Analysis Intern,Software,Berlin,Yes,No,No,No
26.01.2021,Delivery Hero,Data Scientist,Delivery,Berlin,Yes,No,No,No
26.01.2021,Auto1,Data Analyst,Automotive,Berlin,Yes,No,No,No
28.01.2021,Auto1,Data Analyst,Automotive,Berlin,Yes,No,No,No
28.01.2021,Zalando,(Junior) Statistical Analyst,Marketplace,Berlin,Yes,No,No,No
28.01.2021,Forto,Senior Data Analyst,Logistics,Berlin,No,25.02.2021,No,No
28.01.2021,Gorillas,Junior Data Analyst,Delivery,Berlin,Yes,No,No,No
28.01.2021,Delivery Hero,(Senior) Data Analyst,Delivery,Berlin,Yes,No,No,No
28.01.2021,Smoobu,Data Analyst,Software,Berlin,Yes,No,No,No
28.01.2021,Google,Data Scientist Intern,Software,Berlin,Yes,No,No,No
28.01.2021,Auto1,Junior Business Analyst,Automotive,Berlin,Yes,No,No,No
28.01.2021,Zalando,Data Analyst,Marketplace,Berlin,Yes,No,No,No
28.01.2021,Taxfix,Data Analyst,Taxes,Berlin,Yes,No,No,No
28.01.2021,Scout24,Business Analyst,Software,Berlin,Yes,No,No,No
28.01.2021,KAYAK,Data Analyst,Software,Berlin,Yes,No,No,No
28.01.2021,HeyJobs,Product Analyst,Recruitment,Berlin,Yes,No,No,No
28.01.2021,Bayer,BRM Data Analyst,Pharmaceutics,Berlin,Yes,No,No,No
29.01.2021,Wayfair,Data Analyst,Marketplace,Berlin,Yes,No,No,No
29.01.2021,Tier,(Senior) Data Analyst,Mobility,Berlin,Yes,No,No,No
29.01.2021,Free Now,Data Scientist,Mobility,Berlin,Yes,No,No,No
29.01.2021,Axel Springer,Data Scientist,Digital Publisher,Berlin,Yes,No,No,No
30.01.2021,Zalando,(Junior) Statistical Analyst,Marketplace,Berlin,Yes,No,No,No
31.01.2021,Doctolib,Data Scientist,Software,Berlin,Yes,No,No,No
01.02.2021,Smart Pricer,Data Analyst,Software,Berlin,Yes,No,No,No
01.02.2021,ZFX Zeal Capital Market,Digital Data Analyst,Trading,Berlin,Yes,No,No,No
01.02.2021,Big Cloud,Machine Learning Researcher,Machine Learning,Berlin,Yes,No,No,No
01.02.2021,Delivery Hero,Data Analyst,Delivery,Berlin,Yes,No,No,No
01.02.2021,Henlow,Data Scientist,Recruitment,Berlin,Yes,No,No,No
01.02.2021,Klarna,Data Analyst,Bank,Berlin,Yes,No,No,No
01.02.2021,zolar,Operations BI Analyst,Renewable,Berlin,Yes,No,No,No
01.02.2021,Volkswagen,Data Scientist / Data Engineer AI & Analytics,Automotive,Berlin,Yes,No,No,No
01.02.2021,Delivery Hero,Data Analyst,Delivery,Berlin,Yes,No,No,No
02.02.2021,SAP,Thesis Student: Product Owner Support,Software,Berlin,Yes,No,No,No
03.02.2021,MSX Digital Innovation Hub,Data Scientist,Automotive,Berlin,Yes,No,No,No
03.02.2021,JustWatch,BI Analyst,Marketing,Berlin,Yes,No,No,No
03.02.2021,Deutsche Bank,Business Functional Analyst,Bank,Berlin,Yes,No,No,No
03.02.2021,Comatch,Data Scientist,Marketplace,Berlin,Yes,No,No,No
03.02.2021,ferratum,Junior Data Analyst,Bank,Berlin,Yes,No,No,No
03.02.2021,Every,Business Analyst,Food,Berlin,Yes,No,No,No
03.02.2021,Gymondo,Junior Business Intelligence Analyst,Software,Berlin,Yes,No,No,No
04.02.2021,Plentific,Data and Business Intelligence Analyst,Software,Berlin,Yes,No,No,No
04.02.2021,Bayer,Data Scientist Advanced Analytics,Pharmaceutics,Berlin,Yes,No,No,No
04.02.2021,Delivery Hero,Product Analyst,Delivery,Berlin,No,19.02.2021,No,No
04.02.2021,OLX,Data Scientist,Software,Berlin,Yes,No,No,No
05.02.2021,Audatic,Data Scientist,Machine Learning,Berlin,No,No,Very strange assignment,No
05.02.2021,Delivery Hero,(Senior) Data Analyst,Delivery,Berlin,Yes,No,No,No
06.02.2021,Penta,Business Intelligence Analyst,Bank,Berlin,Yes,No,No,No
08.02.2021,Big Cloud,Data Scientist,Machine Learning,Berlin,Yes,No,No,No
08.02.2021,Smart Steel Technologies,Data Visualization Specialist,Production,Berlin,No,No,BI visualization task,No
08.02.2021,Taxfix,Data Analyst,Taxes,Berlin,Yes,No,No,No
08.02.2021,UMI,Data Scientist,Mobility,Berlin,Yes,No,No,No
09.02.2021,adviqo,Business Intelligence Data Scientist,Media & Tech,Berlin,Yes,No,No,No
09.02.2021,Roq.ad,Data Science/Machine Learning Roqstar,,Berlin,Yes,No,No,No
10.02.2021,7Learnings,Junior Data Scientist,Software,Berlin,Yes,No,No,No
10.02.2021,Tier,Data Analyst,Mobility,Berlin,Yes,No,No,No
11.02.2021,Auto1,Data Analyst,Automotive,Berlin,Yes,No,No,No
11.02.2021,Kolibri Games,(Senior) Game Data Scientist,Software,Berlin,Yes,No,No,No
11.02.2021,Contentful,Data Analyst,Software,Berlin,Yes,No,No,No
12.02.2021,Lingoda,Data Science Engineer,Online school,Berlin,Yes,No,No,No
12.02.2021,adsquare,Junior Data Analyst,Marketing,Berlin,Yes,No,No,No
12.02.2021,Asana Rebel,Junior Data Generalist,Software,Berlin,No,09.03.2021,No,No
12.02.2021,Ecosia,Data Engineer / Analyst,Software,Berlin,Yes,No,No,No
12.02.2021,Lidl,Data Scientist for Business Analytics,Retail,Berlin,No,25.02.2021,No,No
12.02.2021,Phiture,Junior Data Analyst,Consulting,Berlin,Yes,No,No,No
12.02.2021,Plista,Data Scientist,Marketing,Berlin,Yes,No,No,No
13.02.2021,CarOnSale,Data Analyst,Automotive,Berlin,Yes,No,No,No
13.02.2021,Share Now,Data Scientist,Mobility,Berlin,Yes,No,No,No
14.02.2021,Delivery Hero,Data Scientist,Delivery,Berlin,Yes,No,No,No
15.02.2021,Phiture,Senior Data Analyst,Consulting,Berlin,Yes,No,No,No
16.02.2021,Auto1,Data Scientist,Automotive,Berlin,Yes,No,No,No
16.02.2021,Axel Springer,Data Analyst,Digital Publisher,Berlin,Yes,No,No,No
17.02.2021,Marley Spoon,Data Scientist,Food,Berlin,Yes,No,No,No
18.02.2021,IONIQ,Data Scientist (Financial Data Product Analyst),Software,Berlin,Yes,No,No,No
18.02.2021,Hypatos,Data Scientist,Machine Learning,Berlin,Yes,No,No,No
18.02.2021,Takeda,Data Scientist,Pharmaceutics,Berlin,Yes,No,No,No
18.02.2021,Zalando,Data Analyst,Marketplace,Berlin,Yes,No,No,No
19.02.2021,Smart Host,Data Scientist,Software,Berlin,Yes,No,No,No
19.02.2021,Teraki,Data Scientist,Machine Learning,Berlin,Yes,No,No,No
20.02.2021,Hello Fresh,Senior Product Analyst,Food,Berlin,Yes,No,No,No
22.02.2021,Delivery Hero,Senior Data Scientist,Delivery,Berlin,Yes,No,No,No
22.02.2021,N26,Senior Data Scientist,Bank,Berlin,Yes,No,No,No
23.02.2021,Harnham,Senior pricing data analyst,Software,Berlin,Yes,No,No,No
24.02.2021,Harnham,Data Scientist,Software,Berlin,Yes,No,No,No
24.02.2021,Moyyn,Junior Data Analyst,Software,Berlin,Yes,No,No,No
24.02.2021,flowkey,Senior Data Analyst,Software,Berlin,Yes,No,No,No
24.02.2021,Auto1,Data Analyst,Automotive,Berlin,Yes,No,No,No
25.02.2021,KAYAK,Data Analyst,Software,Berlin,Yes,No,No,No
25.02.2021,Yara,Data Scientist,Software,Berlin,Yes,No,No,No
26.02.2021,Delivery Hero,(Senior) Data Scientist,Software,Berlin,Yes,No,No,No
26.02.2021,Vinted,Data Scientist,Marketplace,Berlin,Yes,No,No,No
27.02.2021,Basf,Data Analyst,Production,Berlin,Yes,No,No,No
03.03.2021,Bayer,Commercial Data Scientist,Pharmaceutics,Berlin,Yes,No,No,No
03.03.2021,Bayer,Data Scientist,Pharmaceutics,Berlin,Yes,No,No,No
